m,n,k,b,p,q,algo,lookahead,gflops
2048,1024,1024,256,2,2,p2p,0,73.170592
2048,1024,1024,256,2,2,p2p,0,79.505511
2048,1024,1024,256,2,2,p2p,0,77.518089
2048,1024,1024,256,2,2,p2p,0,79.607192
2048,1024,1024,256,2,2,p2p,0,77.554481
512,512,512,256,2,2,p2p,0,53.902700
512,512,512,256,2,2,p2p,0,63.489937
512,512,512,256,2,2,p2p,0,60.404020
512,512,512,256,2,2,p2p,0,57.567116
512,512,512,256,2,2,p2p,0,53.924356
1024,2048,1024,256,2,2,p2p-i-la,2,72.624958
1024,2048,1024,256,2,2,p2p-i-la,2,73.970812
1024,2048,1024,256,2,2,p2p-i-la,2,74.732775
1024,2048,1024,256,2,2,p2p-i-la,2,73.827134
1024,2048,1024,256,2,2,p2p-i-la,2,68.557135
512,512,512,256,2,2,bcast,0,54.906002
512,512,512,256,2,2,bcast,0,62.733219
512,512,512,256,2,2,bcast,0,59.851831
512,512,512,256,2,2,bcast,0,57.815086
512,512,512,256,2,2,bcast,0,53.859439
512,512,512,256,2,2,p2p-i-la,1,49.719478
512,512,512,256,2,2,p2p-i-la,1,59.572895
512,512,512,256,2,2,p2p-i-la,1,55.668905
512,512,512,256,2,2,p2p-i-la,1,60.635974
512,512,512,256,2,2,p2p-i-la,1,60.349700
512,512,512,256,2,2,p2p-i-la,2,52.572551
512,512,512,256,2,2,p2p-i-la,2,60.160344
512,512,512,256,2,2,p2p-i-la,2,59.427816
512,512,512,256,2,2,p2p-i-la,2,61.230717
512,512,512,256,2,2,p2p-i-la,2,62.253124
2048,1024,2048,256,2,2,p2p-i-la,2,75.584350
2048,1024,2048,256,2,2,p2p-i-la,2,81.148892
2048,1024,2048,256,2,2,p2p-i-la,2,78.795172
2048,1024,2048,256,2,2,p2p-i-la,2,77.231641
2048,1024,2048,256,2,2,p2p-i-la,2,77.190001
2048,1024,1024,256,2,2,bcast,0,72.745503
2048,1024,1024,256,2,2,bcast,0,75.886834
2048,1024,1024,256,2,2,bcast,0,72.570961
2048,1024,1024,256,2,2,bcast,0,73.940251
2048,1024,1024,256,2,2,bcast,0,74.535643
1024,2048,1024,256,2,2,p2p-i-la,3,66.118128
1024,2048,1024,256,2,2,p2p-i-la,3,70.214772
1024,2048,1024,256,2,2,p2p-i-la,3,69.717837
1024,2048,1024,256,2,2,p2p-i-la,3,69.543992
1024,2048,1024,256,2,2,p2p-i-la,3,71.634124
1024,1024,1024,256,2,2,p2p,0,69.891414
1024,1024,1024,256,2,2,p2p,0,73.028758
1024,1024,1024,256,2,2,p2p,0,71.637712
1024,1024,1024,256,2,2,p2p,0,73.267953
1024,1024,1024,256,2,2,p2p,0,71.340232
1024,1024,1024,256,2,2,bcast,0,70.657178
1024,1024,1024,256,2,2,bcast,0,69.309440
1024,1024,1024,256,2,2,bcast,0,68.115696
1024,1024,1024,256,2,2,bcast,0,71.444661
1024,1024,1024,256,2,2,bcast,0,70.333200
2048,1024,1024,256,2,2,p2p-i-la,1,70.560831
2048,1024,1024,256,2,2,p2p-i-la,1,70.025881
2048,1024,1024,256,2,2,p2p-i-la,1,71.233745
2048,1024,1024,256,2,2,p2p-i-la,1,70.877558
2048,1024,1024,256,2,2,p2p-i-la,1,71.157031
1024,2048,1024,256,2,2,p2p-i-la,4,67.425977
1024,2048,1024,256,2,2,p2p-i-la,4,68.025076
1024,2048,1024,256,2,2,p2p-i-la,4,69.797144
1024,2048,1024,256,2,2,p2p-i-la,4,67.434448
1024,2048,1024,256,2,2,p2p-i-la,4,70.221658
1024,1024,1024,256,2,2,p2p-i-la,1,66.588644
1024,1024,1024,256,2,2,p2p-i-la,1,72.887473
1024,1024,1024,256,2,2,p2p-i-la,1,70.163154
1024,1024,1024,256,2,2,p2p-i-la,1,63.928424
1024,1024,1024,256,2,2,p2p-i-la,1,72.318020
2048,1024,2048,256,2,2,p2p-i-la,3,73.966356
2048,1024,2048,256,2,2,p2p-i-la,3,77.188610
2048,1024,2048,256,2,2,p2p-i-la,3,75.952595
2048,1024,2048,256,2,2,p2p-i-la,3,76.131656
2048,1024,2048,256,2,2,p2p-i-la,3,76.032597
2048,1024,1024,256,2,2,p2p-i-la,2,68.491539
2048,1024,1024,256,2,2,p2p-i-la,2,73.026274
2048,1024,1024,256,2,2,p2p-i-la,2,70.484404
2048,1024,1024,256,2,2,p2p-i-la,2,70.046438
2048,1024,1024,256,2,2,p2p-i-la,2,71.738220
1024,2048,1024,256,2,2,p2p-i-la,5,66.868553
1024,2048,1024,256,2,2,p2p-i-la,5,70.524916
1024,2048,1024,256,2,2,p2p-i-la,5,69.502353
1024,2048,1024,256,2,2,p2p-i-la,5,69.320625
1024,2048,1024,256,2,2,p2p-i-la,5,68.409714
1024,1024,1024,256,2,2,p2p-i-la,3,66.561810
1024,1024,1024,256,2,2,p2p-i-la,3,70.930229
1024,1024,1024,256,2,2,p2p-i-la,3,71.380545
1024,1024,1024,256,2,2,p2p-i-la,3,68.171922
1024,1024,1024,256,2,2,p2p-i-la,3,69.782404
2048,1024,1024,256,2,2,p2p-i-la,3,69.278134
2048,1024,1024,256,2,2,p2p-i-la,3,71.436343
2048,1024,1024,256,2,2,p2p-i-la,3,73.160618
2048,1024,1024,256,2,2,p2p-i-la,3,71.081661
2048,1024,1024,256,2,2,p2p-i-la,3,72.298542
1024,2048,1024,256,2,2,p2p-i-la,6,64.043773
1024,2048,1024,256,2,2,p2p-i-la,6,71.018194
1024,2048,1024,256,2,2,p2p-i-la,6,69.281489
1024,2048,1024,256,2,2,p2p-i-la,6,68.450054
1024,2048,1024,256,2,2,p2p-i-la,6,68.931235
1024,1024,1024,256,2,2,p2p-i-la,4,64.961090
1024,1024,1024,256,2,2,p2p-i-la,4,68.524317
1024,1024,1024,256,2,2,p2p-i-la,4,68.256428
1024,1024,1024,256,2,2,p2p-i-la,4,72.247465
1024,1024,1024,256,2,2,p2p-i-la,4,70.099027
2048,1024,2048,256,2,2,p2p-i-la,4,72.214665
2048,1024,2048,256,2,2,p2p-i-la,4,77.009384
2048,1024,2048,256,2,2,p2p-i-la,4,76.153928
2048,1024,2048,256,2,2,p2p-i-la,4,76.384170
2048,1024,2048,256,2,2,p2p-i-la,4,75.604975
2048,1024,1024,256,2,2,p2p-i-la,4,70.182643
2048,1024,1024,256,2,2,p2p-i-la,4,71.985910
2048,1024,1024,256,2,2,p2p-i-la,4,72.374077
2048,1024,1024,256,2,2,p2p-i-la,4,74.525294
2048,1024,1024,256,2,2,p2p-i-la,4,72.745503
1024,2048,1024,256,2,2,p2p-i-la,7,64.805240
1024,2048,1024,256,2,2,p2p-i-la,7,71.067548
1024,2048,1024,256,2,2,p2p-i-la,7,72.232885
1024,2048,1024,256,2,2,p2p-i-la,7,71.053440
1024,2048,1024,256,2,2,p2p-i-la,7,70.315930
1024,2048,1024,256,2,2,p2p-i-la,8,64.718333
1024,2048,1024,256,2,2,p2p-i-la,8,68.110296
1024,2048,1024,256,2,2,p2p-i-la,8,73.355547
1024,2048,1024,256,2,2,p2p-i-la,8,71.848627
1024,2048,1024,256,2,2,p2p-i-la,8,70.385069
2048,2048,2048,256,2,2,p2p,0,78.040300
2048,2048,2048,256,2,2,p2p,0,78.781442
2048,2048,2048,256,2,2,p2p,0,79.812451
2048,2048,2048,256,2,2,p2p,0,78.312794
2048,2048,2048,256,2,2,p2p,0,78.072214
3072,1536,1536,256,2,2,p2p,0,78.870843
3072,1536,1536,256,2,2,p2p,0,79.840460
3072,1536,1536,256,2,2,p2p,0,78.424078
3072,1536,1536,256,2,2,p2p,0,79.383108
3072,1536,1536,256,2,2,p2p,0,78.627841
1536,3072,1536,256,2,2,p2p,0,77.009176
1536,3072,1536,256,2,2,p2p,0,78.642773
1536,3072,1536,256,2,2,p2p,0,77.245554
1536,3072,1536,256,2,2,p2p,0,78.954613
1536,3072,1536,256,2,2,p2p,0,78.078956
3072,1536,3072,256,2,2,p2p,0,79.979005
3072,1536,3072,256,2,2,p2p,0,80.990033
3072,1536,3072,256,2,2,p2p,0,81.308713
3072,1536,3072,256,2,2,p2p,0,81.311683
3072,1536,3072,256,2,2,p2p,0,80.463809
3072,1536,1536,256,2,2,bcast,0,79.314915
3072,1536,1536,256,2,2,bcast,0,79.174554
3072,1536,1536,256,2,2,bcast,0,79.583154
3072,1536,1536,256,2,2,bcast,0,77.854184
3072,1536,1536,256,2,2,bcast,0,79.059258
2048,2048,2048,256,2,2,bcast,0,80.500575
2048,2048,2048,256,2,2,bcast,0,79.265242
2048,2048,2048,256,2,2,bcast,0,80.347346
2048,2048,2048,256,2,2,bcast,0,79.439708
2048,2048,2048,256,2,2,bcast,0,81.077273
1536,3072,1536,256,2,2,bcast,0,76.797023
1536,3072,1536,256,2,2,bcast,0,78.260643
1536,3072,1536,256,2,2,bcast,0,78.942574
1536,3072,1536,256,2,2,bcast,0,77.227856
1536,3072,1536,256,2,2,bcast,0,78.020962
3072,1536,1536,256,2,2,p2p-i-la,1,75.123420
3072,1536,1536,256,2,2,p2p-i-la,1,76.530230
3072,1536,1536,256,2,2,p2p-i-la,1,76.787663
3072,1536,1536,256,2,2,p2p-i-la,1,76.235604
