m,n,k,b,p,q,algo,lookahead,gflops
512,512,512,512,2,2,p2p,0,16.399014
512,512,512,512,2,2,p2p,0,40.932518
512,512,512,512,2,2,p2p,0,61.133101
512,512,512,512,2,2,p2p,0,74.606854
512,512,512,512,2,2,p2p,0,75.893543
512,512,512,512,2,2,bcast,0,60.526596
512,512,512,512,2,2,bcast,0,66.035783
512,512,512,512,2,2,bcast,0,69.850497
512,512,512,512,2,2,bcast,0,70.234290
512,512,512,512,2,2,bcast,0,69.633062
512,512,512,512,2,2,p2p-i-la,1,63.882785
512,512,512,512,2,2,p2p-i-la,1,67.310795
512,512,512,512,2,2,p2p-i-la,1,70.326293
512,512,512,512,2,2,p2p-i-la,1,68.130823
512,512,512,512,2,2,p2p-i-la,1,70.548081
1024,1024,1024,512,2,2,p2p,0,81.257898
1024,1024,1024,512,2,2,p2p,0,89.147898
1024,1024,1024,512,2,2,p2p,0,91.184392
1024,1024,1024,512,2,2,p2p,0,88.742662
1024,1024,1024,512,2,2,p2p,0,90.714471
1024,1024,1024,512,2,2,bcast,0,82.655928
1024,1024,1024,512,2,2,bcast,0,87.885558
1024,1024,1024,512,2,2,bcast,0,90.056345
1024,1024,1024,512,2,2,bcast,0,87.456065
1024,1024,1024,512,2,2,bcast,0,89.199738
1024,1024,1024,512,2,2,p2p-i-la,1,83.052314
1024,1024,1024,512,2,2,p2p-i-la,1,84.921053
1024,1024,1024,512,2,2,p2p-i-la,1,85.751854
1024,1024,1024,512,2,2,p2p-i-la,1,83.536919
1024,1024,1024,512,2,2,p2p-i-la,1,85.895908
1024,1024,1024,512,2,2,p2p-i-la,2,82.015110
1024,1024,1024,512,2,2,p2p-i-la,2,84.155641
1024,1024,1024,512,2,2,p2p-i-la,2,85.714202
1024,1024,1024,512,2,2,p2p-i-la,2,83.977931
1024,1024,1024,512,2,2,p2p-i-la,2,84.076565
2048,2048,2048,512,2,2,p2p,0,94.105332
2048,2048,2048,512,2,2,p2p,0,97.862555
2048,2048,2048,512,2,2,p2p,0,96.112233
2048,2048,2048,512,2,2,p2p,0,97.347954
2048,2048,2048,512,2,2,p2p,0,97.610679
2048,2048,2048,512,2,2,bcast,0,91.078042
2048,2048,2048,512,2,2,bcast,0,96.818543
2048,2048,2048,512,2,2,bcast,0,95.502614
2048,2048,2048,512,2,2,bcast,0,97.591270
2048,2048,2048,512,2,2,bcast,0,98.017773
2048,2048,2048,512,2,2,p2p-i-la,1,91.761041
2048,2048,2048,512,2,2,p2p-i-la,1,96.204263
2048,2048,2048,512,2,2,p2p-i-la,1,95.639782
2048,2048,2048,512,2,2,p2p-i-la,1,94.298518
2048,2048,2048,512,2,2,p2p-i-la,1,97.855869
2048,2048,2048,512,2,2,p2p-i-la,2,92.034359
2048,2048,2048,512,2,2,p2p-i-la,2,95.383308
2048,2048,2048,512,2,2,p2p-i-la,2,95.564764
2048,2048,2048,512,2,2,p2p-i-la,2,95.633388
2048,2048,2048,512,2,2,p2p-i-la,2,97.177800
2048,2048,2048,512,2,2,p2p-i-la,3,91.023034
2048,2048,2048,512,2,2,p2p-i-la,3,93.226478
2048,2048,2048,512,2,2,p2p-i-la,3,93.816006
2048,2048,2048,512,2,2,p2p-i-la,3,94.087807
2048,2048,2048,512,2,2,p2p-i-la,3,96.883517
2048,2048,2048,512,2,2,p2p-i-la,4,91.553216
2048,2048,2048,512,2,2,p2p-i-la,4,93.518788
2048,2048,2048,512,2,2,p2p-i-la,4,93.293814
2048,2048,2048,512,2,2,p2p-i-la,4,93.052275
2048,2048,2048,512,2,2,p2p-i-la,4,95.727180
3072,3072,3072,512,2,2,p2p,0,98.688835
3072,3072,3072,512,2,2,p2p,0,97.975100
3072,3072,3072,512,2,2,p2p,0,100.073794
3072,3072,3072,512,2,2,p2p,0,98.604075
3072,3072,3072,512,2,2,p2p,0,95.540595
3072,3072,3072,512,2,2,bcast,0,92.999701
3072,3072,3072,512,2,2,bcast,0,93.368255
3072,3072,3072,512,2,2,bcast,0,92.903733
3072,3072,3072,512,2,2,bcast,0,93.134889
3072,3072,3072,512,2,2,bcast,0,94.075861
3072,3072,3072,512,2,2,p2p-i-la,1,92.179428
3072,3072,3072,512,2,2,p2p-i-la,1,93.582236
3072,3072,3072,512,2,2,p2p-i-la,1,92.555532
3072,3072,3072,512,2,2,p2p-i-la,1,93.978732
3072,3072,3072,512,2,2,p2p-i-la,1,91.294948
3072,3072,3072,512,2,2,p2p-i-la,2,92.096704
3072,3072,3072,512,2,2,p2p-i-la,2,92.511521
3072,3072,3072,512,2,2,p2p-i-la,2,93.044773
3072,3072,3072,512,2,2,p2p-i-la,2,92.199365
3072,3072,3072,512,2,2,p2p-i-la,2,93.367950
3072,3072,3072,512,2,2,p2p-i-la,3,89.915016
3072,3072,3072,512,2,2,p2p-i-la,3,91.975007
3072,3072,3072,512,2,2,p2p-i-la,3,89.348050
3072,3072,3072,512,2,2,p2p-i-la,3,93.338790
3072,3072,3072,512,2,2,p2p-i-la,3,91.360111
3072,3072,3072,512,2,2,p2p-i-la,4,91.687328
3072,3072,3072,512,2,2,p2p-i-la,4,91.679646
3072,3072,3072,512,2,2,p2p-i-la,4,90.836550
3072,3072,3072,512,2,2,p2p-i-la,4,92.833231
3072,3072,3072,512,2,2,p2p-i-la,4,92.937097
3072,3072,3072,512,2,2,p2p-i-la,5,92.372101
3072,3072,3072,512,2,2,p2p-i-la,5,92.473600
3072,3072,3072,512,2,2,p2p-i-la,5,92.530863
3072,3072,3072,512,2,2,p2p-i-la,5,92.638340
3072,3072,3072,512,2,2,p2p-i-la,5,92.030922
3072,3072,3072,512,2,2,p2p-i-la,6,92.250855
3072,3072,3072,512,2,2,p2p-i-la,6,92.672097
3072,3072,3072,512,2,2,p2p-i-la,6,91.448874
3072,3072,3072,512,2,2,p2p-i-la,6,93.180994
3072,3072,3072,512,2,2,p2p-i-la,6,91.475128
3584,3584,3584,512,2,2,p2p,0,91.807208
3584,3584,3584,512,2,2,p2p,0,93.499606
3584,3584,3584,512,2,2,p2p,0,93.156870
3584,3584,3584,512,2,2,p2p,0,93.414042
3584,3584,3584,512,2,2,p2p,0,92.711959
3584,3584,3584,512,2,2,bcast,0,93.464390
3584,3584,3584,512,2,2,bcast,0,93.977534
3584,3584,3584,512,2,2,bcast,0,94.277184
3584,3584,3584,512,2,2,bcast,0,93.623007
3584,3584,3584,512,2,2,bcast,0,93.946465
3584,3584,3584,512,2,2,p2p-i-la,1,92.234403
3584,3584,3584,512,2,2,p2p-i-la,1,92.297922
3584,3584,3584,512,2,2,p2p-i-la,1,92.931771
3584,3584,3584,512,2,2,p2p-i-la,1,93.213078
3584,3584,3584,512,2,2,p2p-i-la,1,93.556132
3584,3584,3584,512,2,2,p2p-i-la,2,91.512392
3584,3584,3584,512,2,2,p2p-i-la,2,92.611991
3584,3584,3584,512,2,2,p2p-i-la,2,92.825338
3584,3584,3584,512,2,2,p2p-i-la,2,92.613113
3584,3584,3584,512,2,2,p2p-i-la,2,93.089997
3584,3584,3584,512,2,2,p2p-i-la,3,90.656486
3584,3584,3584,512,2,2,p2p-i-la,3,92.681815
3584,3584,3584,512,2,2,p2p-i-la,3,93.130580
3584,3584,3584,512,2,2,p2p-i-la,3,93.320120
3584,3584,3584,512,2,2,p2p-i-la,3,92.849302
3584,3584,3584,512,2,2,p2p-i-la,4,91.185132
3584,3584,3584,512,2,2,p2p-i-la,4,92.436546
3584,3584,3584,512,2,2,p2p-i-la,4,93.670917
3584,3584,3584,512,2,2,p2p-i-la,4,93.931704
3584,3584,3584,512,2,2,p2p-i-la,4,93.678830
3584,3584,3584,512,2,2,p2p-i-la,5,90.888986
3584,3584,3584,512,2,2,p2p-i-la,5,91.225153
3584,3584,3584,512,2,2,p2p-i-la,5,93.416313
3584,3584,3584,512,2,2,p2p-i-la,5,92.858852
3584,3584,3584,512,2,2,p2p-i-la,5,93.866207
3584,3584,3584,512,2,2,p2p-i-la,6,91.705800
3584,3584,3584,512,2,2,p2p-i-la,6,91.759457
3584,3584,3584,512,2,2,p2p-i-la,6,90.925783
3584,3584,3584,512,2,2,p2p-i-la,6,92.610037
3584,3584,3584,512,2,2,p2p-i-la,6,93.785226
3584,3584,3584,512,2,2,p2p-i-la,7,90.784228
3584,3584,3584,512,2,2,p2p-i-la,7,91.722244
3584,3584,3584,512,2,2,p2p-i-la,7,90.612689
3584,3584,3584,512,2,2,p2p-i-la,7,93.230821
3584,3584,3584,512,2,2,p2p-i-la,7,92.822159
