m,n,k,b,p,q,algo,lookahead,gflops
256,512,256,256,2,2,p2p,0,39.313922
256,512,256,256,2,2,p2p,0,41.838444
256,512,256,256,2,2,p2p,0,44.472409
256,512,256,256,2,2,p2p,0,44.979133
256,512,256,256,2,2,p2p,0,58.355533
256,512,256,256,2,2,bcast,0,34.699515
256,512,256,256,2,2,bcast,0,41.425225
256,512,256,256,2,2,bcast,0,44.531431
256,512,256,256,2,2,bcast,0,45.252100
256,512,256,256,2,2,bcast,0,46.603377
256,512,256,256,2,2,p2p-i-la,1,34.538787
256,512,256,256,2,2,p2p-i-la,1,49.344753
256,512,256,256,2,2,p2p-i-la,1,50.457793
256,512,256,256,2,2,p2p-i-la,1,47.730344
256,512,256,256,2,2,p2p-i-la,1,44.296280
256,512,256,256,2,2,p2p-i-la,2,35.080430
256,512,256,256,2,2,p2p-i-la,2,41.708429
256,512,256,256,2,2,p2p-i-la,2,52.924972
256,512,256,256,2,2,p2p-i-la,2,49.673473
256,512,256,256,2,2,p2p-i-la,2,40.845321
512,1024,512,256,2,2,p2p,0,61.049680
512,1024,512,256,2,2,p2p,0,66.362291
512,1024,512,256,2,2,p2p,0,64.234377
512,1024,512,256,2,2,p2p,0,66.182309
512,1024,512,256,2,2,p2p,0,66.206800
512,1024,512,256,2,2,bcast,0,63.198458
512,1024,512,256,2,2,bcast,0,66.833178
512,1024,512,256,2,2,bcast,0,64.349864
512,1024,512,256,2,2,bcast,0,65.906077
512,1024,512,256,2,2,bcast,0,66.716906
512,1024,512,256,2,2,p2p-i-la,1,53.730077
512,1024,512,256,2,2,p2p-i-la,1,63.504960
512,1024,512,256,2,2,p2p-i-la,1,57.628908
512,1024,512,256,2,2,p2p-i-la,1,63.235679
512,1024,512,256,2,2,p2p-i-la,1,64.496745
512,1024,512,256,2,2,p2p-i-la,2,54.995994
512,1024,512,256,2,2,p2p-i-la,2,65.177970
512,1024,512,256,2,2,p2p-i-la,2,63.738684
512,1024,512,256,2,2,p2p-i-la,2,63.332658
512,1024,512,256,2,2,p2p-i-la,2,63.452415
512,1024,512,256,2,2,p2p-i-la,3,53.526514
512,1024,512,256,2,2,p2p-i-la,3,65.384353
512,1024,512,256,2,2,p2p-i-la,3,60.966487
512,1024,512,256,2,2,p2p-i-la,3,60.924978
512,1024,512,256,2,2,p2p-i-la,3,61.929969
512,1024,512,256,2,2,p2p-i-la,4,54.383198
512,1024,512,256,2,2,p2p-i-la,4,65.344560
512,1024,512,256,2,2,p2p-i-la,4,62.448638
512,1024,512,256,2,2,p2p-i-la,4,62.887538
512,1024,512,256,2,2,p2p-i-la,4,61.780315
1024,2048,1024,256,2,2,p2p,0,73.648635
1024,2048,1024,256,2,2,p2p,0,74.483936
1024,2048,1024,256,2,2,p2p,0,71.560126
1024,2048,1024,256,2,2,p2p,0,73.618335
1024,2048,1024,256,2,2,p2p,0,74.302251
1024,2048,1024,256,2,2,bcast,0,74.450368
1024,2048,1024,256,2,2,bcast,0,73.236719
1024,2048,1024,256,2,2,bcast,0,75.333120
1024,2048,1024,256,2,2,bcast,0,72.053537
1024,2048,1024,256,2,2,bcast,0,71.134640
1024,2048,1024,256,2,2,p2p-i-la,1,71.912385
1024,2048,1024,256,2,2,p2p-i-la,1,70.896278
1024,2048,1024,256,2,2,p2p-i-la,1,71.918409
1024,2048,1024,256,2,2,p2p-i-la,1,72.318020
1024,2048,1024,256,2,2,p2p-i-la,1,70.197556
1024,2048,1024,256,2,2,p2p-i-la,2,71.045213
