m,n,k,b,p,q,algo,lookahead,gflops
512,256,256,256,2,2,p2p,0,46.896482
512,256,256,256,2,2,p2p,0,63.072243
512,256,256,256,2,2,p2p,0,65.536000
512,256,256,256,2,2,p2p,0,67.786733
512,256,256,256,2,2,p2p,0,68.061724
512,256,256,256,2,2,bcast,0,39.039478
512,256,256,256,2,2,bcast,0,52.347008
512,256,256,256,2,2,bcast,0,52.510850
512,256,256,256,2,2,bcast,0,52.022373
512,256,256,256,2,2,bcast,0,46.668195
512,256,256,256,2,2,p2p-i-la,1,40.970002
512,256,256,256,2,2,p2p-i-la,1,60.458439
512,256,256,256,2,2,p2p-i-la,1,61.342657
512,256,256,256,2,2,p2p-i-la,1,59.126751
512,256,256,256,2,2,p2p-i-la,1,61.794534
1024,512,512,256,2,2,p2p,0,68.027235
1024,512,512,256,2,2,p2p,0,76.564593
1024,512,512,256,2,2,p2p,0,73.918615
1024,512,512,256,2,2,p2p,0,73.212996
1024,512,512,256,2,2,p2p,0,76.816557
1024,512,512,256,2,2,bcast,0,65.416220
1024,512,512,256,2,2,bcast,0,72.393595
1024,512,512,256,2,2,bcast,0,70.188381
1024,512,512,256,2,2,bcast,0,61.490196
1024,512,512,256,2,2,bcast,0,70.271062
1024,512,512,256,2,2,p2p-i-la,1,61.070519
1024,512,512,256,2,2,p2p-i-la,1,68.979946
1024,512,512,256,2,2,p2p-i-la,1,66.908143
1024,512,512,256,2,2,p2p-i-la,1,68.971082
1024,512,512,256,2,2,p2p-i-la,1,66.716906
1024,512,512,256,2,2,p2p-i-la,2,61.751891
1024,512,512,256,2,2,p2p-i-la,2,70.715346
1024,512,512,256,2,2,p2p-i-la,2,69.122046
1024,512,512,256,2,2,p2p-i-la,2,71.212484
1024,512,512,256,2,2,p2p-i-la,2,69.104251
2048,1024,1024,256,2,2,p2p,0,76.896324
2048,1024,1024,256,2,2,p2p,0,80.808418
2048,1024,1024,256,2,2,p2p,0,78.258212
2048,1024,1024,256,2,2,p2p,0,78.177017
2048,1024,1024,256,2,2,p2p,0,79.666260
2048,1024,1024,256,2,2,bcast,0,79.496685
2048,1024,1024,256,2,2,bcast,0,78.834223
2048,1024,1024,256,2,2,bcast,0,80.852530
2048,1024,1024,256,2,2,bcast,0,79.038778
2048,1024,1024,256,2,2,bcast,0,79.191800
2048,1024,1024,256,2,2,p2p-i-la,1,76.099279
2048,1024,1024,256,2,2,p2p-i-la,1,78.731619
2048,1024,1024,256,2,2,p2p-i-la,1,78.658084
2048,1024,1024,256,2,2,p2p-i-la,1,77.114467
2048,1024,1024,256,2,2,p2p-i-la,1,73.641056
2048,1024,1024,256,2,2,p2p-i-la,2,73.771339
2048,1024,1024,256,2,2,p2p-i-la,2,77.742594
2048,1024,1024,256,2,2,p2p-i-la,2,72.649524
2048,1024,1024,256,2,2,p2p-i-la,2,71.725041
2048,1024,1024,256,2,2,p2p-i-la,2,69.010979
2048,1024,1024,256,2,2,p2p-i-la,3,66.576254
2048,1024,1024,256,2,2,p2p-i-la,3,72.723331
2048,1024,1024,256,2,2,p2p-i-la,3,74.348557
2048,1024,1024,256,2,2,p2p-i-la,3,72.981600
2048,1024,1024,256,2,2,p2p-i-la,3,74.637969
2048,1024,1024,256,2,2,p2p-i-la,4,70.438168
2048,1024,1024,256,2,2,p2p-i-la,4,73.661264
2048,1024,1024,256,2,2,p2p-i-la,4,74.443917
2048,1024,1024,256,2,2,p2p-i-la,4,71.024065
2048,1024,1024,256,2,2,p2p-i-la,4,72.297327
