m,n,k,b,p,q,algo,lookahead,gflops
512,512,512,256,4,2,p2p,0,49.691864
512,512,512,256,4,2,p2p,0,60.814556
512,512,512,256,4,2,p2p,0,55.715123
512,512,512,256,4,2,p2p,0,56.134557
512,512,512,256,4,2,p2p,0,56.488944
512,512,512,256,4,2,bcast,0,46.178473
512,512,512,256,4,2,bcast,0,55.703558
512,512,512,256,4,2,bcast,0,52.480049
512,512,512,256,4,2,bcast,0,54.372179
512,512,512,256,4,2,bcast,0,53.239874
512,512,512,256,4,2,p2p-i-la,1,42.233395
512,512,512,256,4,2,p2p-i-la,1,54.141883
512,512,512,256,4,2,p2p-i-la,1,54.460429
512,512,512,256,4,2,p2p-i-la,1,53.891881
512,512,512,256,4,2,p2p-i-la,1,53.558551
512,512,512,256,4,2,p2p-i-la,2,42.548021
512,512,512,256,4,2,p2p-i-la,2,51.851546
512,512,512,256,4,2,p2p-i-la,2,53.092457
512,512,512,256,4,2,p2p-i-la,2,53.590626
512,512,512,256,4,2,p2p-i-la,2,52.541682
1024,1024,1024,256,4,2,p2p,0,66.382802
1024,1024,1024,256,4,2,p2p,0,71.318908
1024,1024,1024,256,4,2,p2p,0,70.427772
1024,1024,1024,256,4,2,p2p,0,72.269348
1024,1024,1024,256,4,2,p2p,0,72.727028
1024,1024,1024,256,4,2,bcast,0,69.441670
1024,1024,1024,256,4,2,bcast,0,73.551517
1024,1024,1024,256,4,2,bcast,0,70.060149
1024,1024,1024,256,4,2,bcast,0,72.638466
1024,1024,1024,256,4,2,bcast,0,72.051118
1024,1024,1024,256,4,2,p2p-i-la,1,61.980015
1024,1024,1024,256,4,2,p2p-i-la,1,68.163265
1024,1024,1024,256,4,2,p2p-i-la,1,65.746677
1024,1024,1024,256,4,2,p2p-i-la,1,66.683758
1024,1024,1024,256,4,2,p2p-i-la,1,65.146334
1024,1024,1024,256,4,2,p2p-i-la,2,59.260546
1024,1024,1024,256,4,2,p2p-i-la,2,66.561810
1024,1024,1024,256,4,2,p2p-i-la,2,66.903973
1024,1024,1024,256,4,2,p2p-i-la,2,67.805997
1024,1024,1024,256,4,2,p2p-i-la,2,67.094184
1024,1024,1024,256,4,2,p2p-i-la,3,59.345707
1024,1024,1024,256,4,2,p2p-i-la,3,68.633822
1024,1024,1024,256,4,2,p2p-i-la,3,66.096757
1024,1024,1024,256,4,2,p2p-i-la,3,67.433383
