m,n,k,b,p,q,algo,lookahead,gflops
512,512,512,256,8,8,p2p,0,20.698238
512,512,512,256,8,8,p2p,0,24.813779
512,512,512,256,8,8,p2p,0,21.707542
512,512,512,256,8,8,p2p,0,23.690358
512,512,512,256,8,8,p2p,0,22.789325
512,512,512,256,8,8,bcast,0,15.003100
512,512,512,256,8,8,bcast,0,17.428610
512,512,512,256,8,8,bcast,0,17.186468
512,512,512,256,8,8,bcast,0,16.586471
512,512,512,256,8,8,bcast,0,14.121493
512,512,512,256,8,8,p2p-i-la,1,17.284961
512,512,512,256,8,8,p2p-i-la,1,22.035417
512,512,512,256,8,8,p2p-i-la,1,23.170950
512,512,512,256,8,8,p2p-i-la,1,23.586280
512,512,512,256,8,8,p2p-i-la,1,22.744912
512,512,512,256,8,8,p2p-i-la,2,16.186412
512,512,512,256,8,8,p2p-i-la,2,22.988393
512,512,512,256,8,8,p2p-i-la,2,21.058716
512,512,512,256,8,8,p2p-i-la,2,22.274952
512,512,512,256,8,8,p2p-i-la,2,23.291579
1024,1024,1024,256,8,8,p2p,0,40.442252
1024,1024,1024,256,8,8,p2p,0,42.912766
1024,1024,1024,256,8,8,p2p,0,44.054560
1024,1024,1024,256,8,8,p2p,0,44.282580
1024,1024,1024,256,8,8,p2p,0,43.879030
1024,1024,1024,256,8,8,bcast,0,37.233575
1024,1024,1024,256,8,8,bcast,0,40.056025
1024,1024,1024,256,8,8,bcast,0,38.069875
1024,1024,1024,256,8,8,bcast,0,40.618188
1024,1024,1024,256,8,8,bcast,0,40.206013
1024,1024,1024,256,8,8,p2p-i-la,1,33.785123
1024,1024,1024,256,8,8,p2p-i-la,1,37.016007
1024,1024,1024,256,8,8,p2p-i-la,1,38.824914
1024,1024,1024,256,8,8,p2p-i-la,1,36.944049
1024,1024,1024,256,8,8,p2p-i-la,1,39.397586
1024,1024,1024,256,8,8,p2p-i-la,2,31.906275
1024,1024,1024,256,8,8,p2p-i-la,2,36.947227
1024,1024,1024,256,8,8,p2p-i-la,2,40.393567
1024,1024,1024,256,8,8,p2p-i-la,2,39.930155
1024,1024,1024,256,8,8,p2p-i-la,2,38.071225
1024,1024,1024,256,8,8,p2p-i-la,3,30.708608
1024,1024,1024,256,8,8,p2p-i-la,3,39.919764
1024,1024,1024,256,8,8,p2p-i-la,3,38.462623
1024,1024,1024,256,8,8,p2p-i-la,3,37.718827
1024,1024,1024,256,8,8,p2p-i-la,3,38.790551
1024,1024,1024,256,8,8,p2p-i-la,4,30.686666
1024,1024,1024,256,8,8,p2p-i-la,4,38.729687
1024,1024,1024,256,8,8,p2p-i-la,4,38.922022
1024,1024,1024,256,8,8,p2p-i-la,4,39.400478
1024,1024,1024,256,8,8,p2p-i-la,4,38.142903
2048,2048,2048,256,8,8,p2p,0,54.916008
2048,2048,2048,256,8,8,p2p,0,57.624460
2048,2048,2048,256,8,8,p2p,0,56.204344
2048,2048,2048,256,8,8,p2p,0,56.484300
2048,2048,2048,256,8,8,p2p,0,54.957819
2048,2048,2048,256,8,8,bcast,0,56.621314
2048,2048,2048,256,8,8,bcast,0,57.371792
2048,2048,2048,256,8,8,bcast,0,56.841624
2048,2048,2048,256,8,8,bcast,0,55.709701
2048,2048,2048,256,8,8,bcast,0,55.890212
2048,2048,2048,256,8,8,p2p-i-la,1,49.587019
2048,2048,2048,256,8,8,p2p-i-la,1,50.518182
2048,2048,2048,256,8,8,p2p-i-la,1,50.315337
2048,2048,2048,256,8,8,p2p-i-la,1,48.291702
2048,2048,2048,256,8,8,p2p-i-la,1,50.132829
2048,2048,2048,256,8,8,p2p-i-la,2,46.847631
2048,2048,2048,256,8,8,p2p-i-la,2,51.804483
2048,2048,2048,256,8,8,p2p-i-la,2,49.697617
2048,2048,2048,256,8,8,p2p-i-la,2,48.858221
2048,2048,2048,256,8,8,p2p-i-la,2,48.489066
2048,2048,2048,256,8,8,p2p-i-la,3,47.555678
2048,2048,2048,256,8,8,p2p-i-la,3,51.599256
2048,2048,2048,256,8,8,p2p-i-la,3,51.420259
2048,2048,2048,256,8,8,p2p-i-la,3,49.789363
2048,2048,2048,256,8,8,p2p-i-la,3,47.992347
2048,2048,2048,256,8,8,p2p-i-la,4,47.752767
2048,2048,2048,256,8,8,p2p-i-la,4,51.765927
2048,2048,2048,256,8,8,p2p-i-la,4,48.555807
2048,2048,2048,256,8,8,p2p-i-la,4,49.470361
2048,2048,2048,256,8,8,p2p-i-la,4,49.019793
2048,2048,2048,256,8,8,p2p-i-la,5,46.233650
2048,2048,2048,256,8,8,p2p-i-la,5,51.959910
2048,2048,2048,256,8,8,p2p-i-la,5,50.923685
2048,2048,2048,256,8,8,p2p-i-la,5,50.046521
2048,2048,2048,256,8,8,p2p-i-la,5,49.277946
2048,2048,2048,256,8,8,p2p-i-la,6,43.891361
2048,2048,2048,256,8,8,p2p-i-la,6,51.446591
2048,2048,2048,256,8,8,p2p-i-la,6,50.805469
2048,2048,2048,256,8,8,p2p-i-la,6,49.044703
2048,2048,2048,256,8,8,p2p-i-la,6,48.069697
2048,2048,2048,256,8,8,p2p-i-la,7,43.346838
2048,2048,2048,256,8,8,p2p-i-la,7,50.219439
2048,2048,2048,256,8,8,p2p-i-la,7,51.226462
2048,2048,2048,256,8,8,p2p-i-la,7,49.809859
2048,2048,2048,256,8,8,p2p-i-la,7,48.892147
2048,2048,2048,256,8,8,p2p-i-la,8,41.862808
2048,2048,2048,256,8,8,p2p-i-la,8,52.460659
2048,2048,2048,256,8,8,p2p-i-la,8,50.725213
2048,2048,2048,256,8,8,p2p-i-la,8,50.478992
2048,2048,2048,256,8,8,p2p-i-la,8,49.549976
3072,3072,3072,256,8,8,p2p,0,63.728593
3072,3072,3072,256,8,8,p2p,0,63.530357
3072,3072,3072,256,8,8,p2p,0,64.103706
3072,3072,3072,256,8,8,p2p,0,64.065102
3072,3072,3072,256,8,8,p2p,0,63.599900
3072,3072,3072,256,8,8,bcast,0,61.557109
3072,3072,3072,256,8,8,bcast,0,64.000117
3072,3072,3072,256,8,8,bcast,0,63.711926
3072,3072,3072,256,8,8,bcast,0,64.029870
3072,3072,3072,256,8,8,bcast,0,62.444263
3072,3072,3072,256,8,8,p2p-i-la,1,58.844783
3072,3072,3072,256,8,8,p2p-i-la,1,57.487495
3072,3072,3072,256,8,8,p2p-i-la,1,56.254758
3072,3072,3072,256,8,8,p2p-i-la,1,56.056302
3072,3072,3072,256,8,8,p2p-i-la,1,54.686897
3072,3072,3072,256,8,8,p2p-i-la,2,55.020264
3072,3072,3072,256,8,8,p2p-i-la,2,54.651178
3072,3072,3072,256,8,8,p2p-i-la,2,54.421327
3072,3072,3072,256,8,8,p2p-i-la,2,51.842968
3072,3072,3072,256,8,8,p2p-i-la,2,51.374252
3072,3072,3072,256,8,8,p2p-i-la,3,52.939950
3072,3072,3072,256,8,8,p2p-i-la,3,54.706044
3072,3072,3072,256,8,8,p2p-i-la,3,51.382626
3072,3072,3072,256,8,8,p2p-i-la,3,50.688047
3072,3072,3072,256,8,8,p2p-i-la,3,52.453177
3072,3072,3072,256,8,8,p2p-i-la,4,51.168014
3072,3072,3072,256,8,8,p2p-i-la,4,53.949898
3072,3072,3072,256,8,8,p2p-i-la,4,52.518456
3072,3072,3072,256,8,8,p2p-i-la,4,51.405179
3072,3072,3072,256,8,8,p2p-i-la,4,50.920997
3072,3072,3072,256,8,8,p2p-i-la,5,52.253883
3072,3072,3072,256,8,8,p2p-i-la,5,54.689270
3072,3072,3072,256,8,8,p2p-i-la,5,53.684654
3072,3072,3072,256,8,8,p2p-i-la,5,51.380900
3072,3072,3072,256,8,8,p2p-i-la,5,49.699061
3072,3072,3072,256,8,8,p2p-i-la,6,52.013134
3072,3072,3072,256,8,8,p2p-i-la,6,54.826366
3072,3072,3072,256,8,8,p2p-i-la,6,53.835087
3072,3072,3072,256,8,8,p2p-i-la,6,53.293802
3072,3072,3072,256,8,8,p2p-i-la,6,50.659264
3072,3072,3072,256,8,8,p2p-i-la,7,52.207964
3072,3072,3072,256,8,8,p2p-i-la,7,56.917531
3072,3072,3072,256,8,8,p2p-i-la,7,53.723505
3072,3072,3072,256,8,8,p2p-i-la,7,53.047963
3072,3072,3072,256,8,8,p2p-i-la,7,51.932775
3072,3072,3072,256,8,8,p2p-i-la,8,51.095105
3072,3072,3072,256,8,8,p2p-i-la,8,56.629463
3072,3072,3072,256,8,8,p2p-i-la,8,56.061342
3072,3072,3072,256,8,8,p2p-i-la,8,53.859940
3072,3072,3072,256,8,8,p2p-i-la,8,51.978583
3072,3072,3072,256,8,8,p2p-i-la,9,50.887658
3072,3072,3072,256,8,8,p2p-i-la,9,56.041292
3072,3072,3072,256,8,8,p2p-i-la,9,55.696388
3072,3072,3072,256,8,8,p2p-i-la,9,54.520547
3072,3072,3072,256,8,8,p2p-i-la,9,51.362143
3072,3072,3072,256,8,8,p2p-i-la,10,50.219785
3072,3072,3072,256,8,8,p2p-i-la,10,57.893658
3072,3072,3072,256,8,8,p2p-i-la,10,54.297434
3072,3072,3072,256,8,8,p2p-i-la,10,54.202213
3072,3072,3072,256,8,8,p2p-i-la,10,52.990175
3072,3072,3072,256,8,8,p2p-i-la,11,50.514542
3072,3072,3072,256,8,8,p2p-i-la,11,56.062970
3072,3072,3072,256,8,8,p2p-i-la,11,56.625204
3072,3072,3072,256,8,8,p2p-i-la,11,53.426687
3072,3072,3072,256,8,8,p2p-i-la,11,52.787504
3072,3072,3072,256,8,8,p2p-i-la,12,49.182351
3072,3072,3072,256,8,8,p2p-i-la,12,54.421376
3072,3072,3072,256,8,8,p2p-i-la,12,55.356498
3072,3072,3072,256,8,8,p2p-i-la,12,53.737542
3072,3072,3072,256,8,8,p2p-i-la,12,52.015326
3584,3584,3584,256,8,8,p2p,0,64.663709
3584,3584,3584,256,8,8,p2p,0,65.665517
3584,3584,3584,256,8,8,p2p,0,65.790418
3584,3584,3584,256,8,8,p2p,0,64.916650
3584,3584,3584,256,8,8,p2p,0,64.536936
3584,3584,3584,256,8,8,bcast,0,64.150415
3584,3584,3584,256,8,8,bcast,0,63.519898
3584,3584,3584,256,8,8,bcast,0,65.277062
3584,3584,3584,256,8,8,bcast,0,64.823457
3584,3584,3584,256,8,8,bcast,0,65.593523
3584,3584,3584,256,8,8,p2p-i-la,1,58.317908
3584,3584,3584,256,8,8,p2p-i-la,1,57.704176
3584,3584,3584,256,8,8,p2p-i-la,1,57.030578
3584,3584,3584,256,8,8,p2p-i-la,1,55.917568
3584,3584,3584,256,8,8,p2p-i-la,1,55.060359
3584,3584,3584,256,8,8,p2p-i-la,2,53.424052
3584,3584,3584,256,8,8,p2p-i-la,2,54.001434
3584,3584,3584,256,8,8,p2p-i-la,2,53.343885
3584,3584,3584,256,8,8,p2p-i-la,2,51.635001
3584,3584,3584,256,8,8,p2p-i-la,2,50.567142
3584,3584,3584,256,8,8,p2p-i-la,3,55.758442
3584,3584,3584,256,8,8,p2p-i-la,3,56.198904
3584,3584,3584,256,8,8,p2p-i-la,3,54.621550
3584,3584,3584,256,8,8,p2p-i-la,3,51.924357
3584,3584,3584,256,8,8,p2p-i-la,3,52.417936
3584,3584,3584,256,8,8,p2p-i-la,4,54.262367
3584,3584,3584,256,8,8,p2p-i-la,4,55.020513
3584,3584,3584,256,8,8,p2p-i-la,4,52.246579
3584,3584,3584,256,8,8,p2p-i-la,4,50.099144
3584,3584,3584,256,8,8,p2p-i-la,4,50.623443
3584,3584,3584,256,8,8,p2p-i-la,5,50.717641
3584,3584,3584,256,8,8,p2p-i-la,5,51.170657
3584,3584,3584,256,8,8,p2p-i-la,5,47.952477
3584,3584,3584,256,8,8,p2p-i-la,5,49.338882
3584,3584,3584,256,8,8,p2p-i-la,5,47.115654
3584,3584,3584,256,8,8,p2p-i-la,6,51.542100
3584,3584,3584,256,8,8,p2p-i-la,6,52.586215
3584,3584,3584,256,8,8,p2p-i-la,6,56.195474
3584,3584,3584,256,8,8,p2p-i-la,6,51.299095
3584,3584,3584,256,8,8,p2p-i-la,6,49.023667
3584,3584,3584,256,8,8,p2p-i-la,7,53.186980
3584,3584,3584,256,8,8,p2p-i-la,7,55.531214
3584,3584,3584,256,8,8,p2p-i-la,7,54.187257
3584,3584,3584,256,8,8,p2p-i-la,7,51.755044
3584,3584,3584,256,8,8,p2p-i-la,7,51.212525
3584,3584,3584,256,8,8,p2p-i-la,8,53.061646
3584,3584,3584,256,8,8,p2p-i-la,8,55.431620
3584,3584,3584,256,8,8,p2p-i-la,8,55.807989
3584,3584,3584,256,8,8,p2p-i-la,8,52.404478
3584,3584,3584,256,8,8,p2p-i-la,8,52.180491
3584,3584,3584,256,8,8,p2p-i-la,9,55.868267
3584,3584,3584,256,8,8,p2p-i-la,9,60.168482
3584,3584,3584,256,8,8,p2p-i-la,9,57.441237
3584,3584,3584,256,8,8,p2p-i-la,9,57.519391
3584,3584,3584,256,8,8,p2p-i-la,9,56.245526
3584,3584,3584,256,8,8,p2p-i-la,10,54.903285
3584,3584,3584,256,8,8,p2p-i-la,10,61.362154
3584,3584,3584,256,8,8,p2p-i-la,10,60.217555
3584,3584,3584,256,8,8,p2p-i-la,10,58.448406
3584,3584,3584,256,8,8,p2p-i-la,10,56.532192
3584,3584,3584,256,8,8,p2p-i-la,11,53.602546
3584,3584,3584,256,8,8,p2p-i-la,11,61.018084
3584,3584,3584,256,8,8,p2p-i-la,11,56.969461
3584,3584,3584,256,8,8,p2p-i-la,11,57.042485
3584,3584,3584,256,8,8,p2p-i-la,11,55.192777
3584,3584,3584,256,8,8,p2p-i-la,12,54.945979
3584,3584,3584,256,8,8,p2p-i-la,12,58.846282
3584,3584,3584,256,8,8,p2p-i-la,12,58.552590
3584,3584,3584,256,8,8,p2p-i-la,12,56.926770
3584,3584,3584,256,8,8,p2p-i-la,12,53.526887
3584,3584,3584,256,8,8,p2p-i-la,13,54.071044
3584,3584,3584,256,8,8,p2p-i-la,13,59.909466
3584,3584,3584,256,8,8,p2p-i-la,13,57.992245
3584,3584,3584,256,8,8,p2p-i-la,13,57.097173
3584,3584,3584,256,8,8,p2p-i-la,13,55.258792
3584,3584,3584,256,8,8,p2p-i-la,14,54.556011
3584,3584,3584,256,8,8,p2p-i-la,14,60.617610
3584,3584,3584,256,8,8,p2p-i-la,14,59.802110
3584,3584,3584,256,8,8,p2p-i-la,14,57.099123
3584,3584,3584,256,8,8,p2p-i-la,14,56.071181
