m,n,k,b,p,q,algo,lookahead,gflops
512,512,512,128,2,2,p2p,0,44.281665
512,512,512,128,2,2,p2p,0,48.271075
512,512,512,128,2,2,p2p,0,48.055039
512,512,512,128,2,2,p2p,0,47.696421
512,512,512,128,2,2,p2p,0,49.335682
512,512,512,128,2,2,bcast,0,45.100042
512,512,512,128,2,2,bcast,0,47.351464
512,512,512,128,2,2,bcast,0,47.772815
512,512,512,128,2,2,bcast,0,47.502293
512,512,512,128,2,2,bcast,0,46.651973
512,512,512,128,2,2,p2p-i-la,1,39.833130
512,512,512,128,2,2,p2p-i-la,1,42.840001
512,512,512,128,2,2,p2p-i-la,1,42.710493
512,512,512,128,2,2,p2p-i-la,1,43.365986
512,512,512,128,2,2,p2p-i-la,1,43.136020
512,512,512,128,2,2,p2p-i-la,2,38.948848
512,512,512,128,2,2,p2p-i-la,2,41.624354
512,512,512,128,2,2,p2p-i-la,2,41.508497
512,512,512,128,2,2,p2p-i-la,2,42.173679
512,512,512,128,2,2,p2p-i-la,2,42.507595
512,512,512,128,2,2,p2p-i-la,3,35.030074
512,512,512,128,2,2,p2p-i-la,3,39.464195
512,512,512,128,2,2,p2p-i-la,3,38.718514
512,512,512,128,2,2,p2p-i-la,3,38.038183
512,512,512,128,2,2,p2p-i-la,3,39.147654
512,512,512,128,2,2,p2p-i-la,4,35.634603
512,512,512,128,2,2,p2p-i-la,4,39.868627
512,512,512,128,2,2,p2p-i-la,4,41.089155
512,512,512,128,2,2,p2p-i-la,4,40.041089
512,512,512,128,2,2,p2p-i-la,4,40.727576
1024,1024,1024,128,2,2,p2p,0,52.719684
1024,1024,1024,128,2,2,p2p,0,53.770437
1024,1024,1024,128,2,2,p2p,0,55.810690
1024,1024,1024,128,2,2,p2p,0,56.850840
1024,1024,1024,128,2,2,p2p,0,56.593148
1024,1024,1024,128,2,2,bcast,0,56.576746
1024,1024,1024,128,2,2,bcast,0,51.128128
1024,1024,1024,128,2,2,bcast,0,52.656344
1024,1024,1024,128,2,2,bcast,0,58.304832
1024,1024,1024,128,2,2,bcast,0,58.481080
