m,n,k,b,p,q,algo,lookahead,gflops
512,256,512,256,2,2,p2p,0,54.939717
512,256,512,256,2,2,p2p,0,74.112493
512,256,512,256,2,2,p2p,0,65.857573
512,256,512,256,2,2,p2p,0,70.307873
512,256,512,256,2,2,p2p,0,65.600063
512,256,512,256,2,2,bcast,0,51.761562
512,256,512,256,2,2,bcast,0,64.902192
512,256,512,256,2,2,bcast,0,64.808176
512,256,512,256,2,2,bcast,0,63.822031
512,256,512,256,2,2,bcast,0,64.311320
512,256,512,256,2,2,p2p-i-la,1,47.969169
512,256,512,256,2,2,p2p-i-la,1,70.160861
512,256,512,256,2,2,p2p-i-la,1,67.108861
512,256,512,256,2,2,p2p-i-la,1,69.291549
512,256,512,256,2,2,p2p-i-la,1,73.423267
1024,512,1024,256,2,2,p2p,0,74.348557
1024,512,1024,256,2,2,p2p,0,80.574950
1024,512,1024,256,2,2,p2p,0,80.129989
1024,512,1024,256,2,2,p2p,0,79.719489
1024,512,1024,256,2,2,p2p,0,78.662404
1024,512,1024,256,2,2,bcast,0,73.751071
1024,512,1024,256,2,2,bcast,0,78.466956
1024,512,1024,256,2,2,bcast,0,77.835582
1024,512,1024,256,2,2,bcast,0,76.888063
1024,512,1024,256,2,2,bcast,0,75.963339
1024,512,1024,256,2,2,p2p-i-la,1,69.646611
1024,512,1024,256,2,2,p2p-i-la,1,75.573044
1024,512,1024,256,2,2,p2p-i-la,1,77.020429
1024,512,1024,256,2,2,p2p-i-la,1,77.476140
1024,512,1024,256,2,2,p2p-i-la,1,75.323873
1024,512,1024,256,2,2,p2p-i-la,2,70.376996
1024,512,1024,256,2,2,p2p-i-la,2,76.130304
1024,512,1024,256,2,2,p2p-i-la,2,77.070186
1024,512,1024,256,2,2,p2p-i-la,2,77.773562
1024,512,1024,256,2,2,p2p-i-la,2,75.963339
2048,1024,2048,256,2,2,p2p,0,80.914983
2048,1024,2048,256,2,2,p2p,0,83.164079
2048,1024,2048,256,2,2,p2p,0,82.542350
2048,1024,2048,256,2,2,p2p,0,82.913625
2048,1024,2048,256,2,2,p2p,0,82.564564
2048,1024,2048,256,2,2,bcast,0,83.197908
2048,1024,2048,256,2,2,bcast,0,85.153399
2048,1024,2048,256,2,2,bcast,0,84.808705
2048,1024,2048,256,2,2,bcast,0,85.456678
2048,1024,2048,256,2,2,bcast,0,82.747495
2048,1024,2048,256,2,2,p2p-i-la,1,79.359343
2048,1024,2048,256,2,2,p2p-i-la,1,81.539432
2048,1024,2048,256,2,2,p2p-i-la,1,81.044001
2048,1024,2048,256,2,2,p2p-i-la,1,84.001744
2048,1024,2048,256,2,2,p2p-i-la,1,83.339165
2048,1024,2048,256,2,2,p2p-i-la,2,80.138210
2048,1024,2048,256,2,2,p2p-i-la,2,83.943464
2048,1024,2048,256,2,2,p2p-i-la,2,84.058463
2048,1024,2048,256,2,2,p2p-i-la,2,82.716416
2048,1024,2048,256,2,2,p2p-i-la,2,82.193249
2048,1024,2048,256,2,2,p2p-i-la,3,78.649440
2048,1024,2048,256,2,2,p2p-i-la,3,83.186629
2048,1024,2048,256,2,2,p2p-i-la,3,81.882984
2048,1024,2048,256,2,2,p2p-i-la,3,84.116910
2048,1024,2048,256,2,2,p2p-i-la,3,82.781783
2048,1024,2048,256,2,2,p2p-i-la,4,76.421546
2048,1024,2048,256,2,2,p2p-i-la,4,80.224280
2048,1024,2048,256,2,2,p2p-i-la,4,75.736295
2048,1024,2048,256,2,2,p2p-i-la,4,79.365210
2048,1024,2048,256,2,2,p2p-i-la,4,79.892247
3072,1536,3072,256,2,2,p2p,0,82.362050
3072,1536,3072,256,2,2,p2p,0,84.033675
3072,1536,3072,256,2,2,p2p,0,83.261139
3072,1536,3072,256,2,2,p2p,0,80.167214
3072,1536,3072,256,2,2,p2p,0,81.937924
3072,1536,3072,256,2,2,bcast,0,81.181898
3072,1536,3072,256,2,2,bcast,0,80.998853
3072,1536,3072,256,2,2,bcast,0,81.790204
3072,1536,3072,256,2,2,bcast,0,83.289127
3072,1536,3072,256,2,2,bcast,0,81.244689
3072,1536,3072,256,2,2,p2p-i-la,1,78.111564
3072,1536,3072,256,2,2,p2p-i-la,1,79.054946
3072,1536,3072,256,2,2,p2p-i-la,1,78.306512
3072,1536,3072,256,2,2,p2p-i-la,1,79.945036
3072,1536,3072,256,2,2,p2p-i-la,1,78.969457
3072,1536,3072,256,2,2,p2p-i-la,2,78.295520
3072,1536,3072,256,2,2,p2p-i-la,2,79.190125
3072,1536,3072,256,2,2,p2p-i-la,2,78.252194
3072,1536,3072,256,2,2,p2p-i-la,2,78.153259
3072,1536,3072,256,2,2,p2p-i-la,2,78.259799
3072,1536,3072,256,2,2,p2p-i-la,3,77.578351
3072,1536,3072,256,2,2,p2p-i-la,3,79.961136
3072,1536,3072,256,2,2,p2p-i-la,3,78.792177
3072,1536,3072,256,2,2,p2p-i-la,3,79.492381
3072,1536,3072,256,2,2,p2p-i-la,3,79.244236
3072,1536,3072,256,2,2,p2p-i-la,4,79.098085
3072,1536,3072,256,2,2,p2p-i-la,4,80.825422
3072,1536,3072,256,2,2,p2p-i-la,4,81.206227
3072,1536,3072,256,2,2,p2p-i-la,4,79.570486
3072,1536,3072,256,2,2,p2p-i-la,4,79.453600
3072,1536,3072,256,2,2,p2p-i-la,5,77.855854
3072,1536,3072,256,2,2,p2p-i-la,5,80.671366
3072,1536,3072,256,2,2,p2p-i-la,5,80.387057
3072,1536,3072,256,2,2,p2p-i-la,5,81.460419
3072,1536,3072,256,2,2,p2p-i-la,5,80.461353
3072,1536,3072,256,2,2,p2p-i-la,6,78.197738
3072,1536,3072,256,2,2,p2p-i-la,6,80.445723
3072,1536,3072,256,2,2,p2p-i-la,6,80.045033
3072,1536,3072,256,2,2,p2p-i-la,6,81.355946
3072,1536,3072,256,2,2,p2p-i-la,6,81.191445
3584,1792,3584,256,2,2,p2p,0,81.212773
3584,1792,3584,256,2,2,p2p,0,80.820551
3584,1792,3584,256,2,2,p2p,0,81.714855
3584,1792,3584,256,2,2,p2p,0,83.343315
3584,1792,3584,256,2,2,p2p,0,82.626360
3584,1792,3584,256,2,2,bcast,0,82.975136
3584,1792,3584,256,2,2,bcast,0,82.547096
3584,1792,3584,256,2,2,bcast,0,82.588413
3584,1792,3584,256,2,2,bcast,0,83.125108
3584,1792,3584,256,2,2,bcast,0,84.229565
3584,1792,3584,256,2,2,p2p-i-la,1,80.354747
3584,1792,3584,256,2,2,p2p-i-la,1,80.680475
3584,1792,3584,256,2,2,p2p-i-la,1,81.602897
3584,1792,3584,256,2,2,p2p-i-la,1,81.647615
3584,1792,3584,256,2,2,p2p-i-la,1,80.948311
3584,1792,3584,256,2,2,p2p-i-la,2,82.863123
3584,1792,3584,256,2,2,p2p-i-la,2,83.661683
3584,1792,3584,256,2,2,p2p-i-la,2,83.656210
3584,1792,3584,256,2,2,p2p-i-la,2,84.506794
3584,1792,3584,256,2,2,p2p-i-la,2,83.429560
3584,1792,3584,256,2,2,p2p-i-la,3,83.422450
3584,1792,3584,256,2,2,p2p-i-la,3,82.983962
3584,1792,3584,256,2,2,p2p-i-la,3,83.938693
3584,1792,3584,256,2,2,p2p-i-la,3,84.001948
3584,1792,3584,256,2,2,p2p-i-la,3,84.125822
3584,1792,3584,256,2,2,p2p-i-la,4,82.418676
3584,1792,3584,256,2,2,p2p-i-la,4,83.192555
3584,1792,3584,256,2,2,p2p-i-la,4,83.346481
3584,1792,3584,256,2,2,p2p-i-la,4,84.713617
3584,1792,3584,256,2,2,p2p-i-la,4,83.024523
3584,1792,3584,256,2,2,p2p-i-la,5,82.326556
3584,1792,3584,256,2,2,p2p-i-la,5,84.047040
3584,1792,3584,256,2,2,p2p-i-la,5,83.641316
3584,1792,3584,256,2,2,p2p-i-la,5,84.597948
3584,1792,3584,256,2,2,p2p-i-la,5,83.686321
3584,1792,3584,256,2,2,p2p-i-la,6,82.107629
3584,1792,3584,256,2,2,p2p-i-la,6,83.366407
3584,1792,3584,256,2,2,p2p-i-la,6,83.578747
3584,1792,3584,256,2,2,p2p-i-la,6,83.016732
3584,1792,3584,256,2,2,p2p-i-la,6,84.539695
3584,1792,3584,256,2,2,p2p-i-la,7,80.893407
3584,1792,3584,256,2,2,p2p-i-la,7,83.493864
3584,1792,3584,256,2,2,p2p-i-la,7,82.012119
3584,1792,3584,256,2,2,p2p-i-la,7,83.612451
3584,1792,3584,256,2,2,p2p-i-la,7,84.154274
