m,n,k,b,p,q,algo,lookahead,gflops
512,768,256,256,2,2,p2p,0,53.176596
512,768,256,256,2,2,p2p,0,65.196435
512,768,256,256,2,2,p2p,0,61.082098
512,768,256,256,2,2,p2p,0,59.811821
512,768,256,256,2,2,p2p,0,68.994717
512,768,256,256,2,2,bcast,0,49.320578
512,768,256,256,2,2,bcast,0,58.576254
512,768,256,256,2,2,bcast,0,55.355126
512,768,256,256,2,2,bcast,0,57.292713
512,768,256,256,2,2,bcast,0,63.670647
512,768,256,256,2,2,p2p-i-la,1,52.143639
512,768,256,256,2,2,p2p-i-la,1,63.092005
512,768,256,256,2,2,p2p-i-la,1,62.349519
512,768,256,256,2,2,p2p-i-la,1,61.249341
512,768,256,256,2,2,p2p-i-la,1,63.092005
512,768,256,256,2,2,p2p-i-la,2,46.485012
512,768,256,256,2,2,p2p-i-la,2,64.610588
512,768,256,256,2,2,p2p-i-la,2,65.987085
512,768,256,256,2,2,p2p-i-la,2,63.290346
512,768,256,256,2,2,p2p-i-la,2,64.075938
512,768,256,256,2,2,p2p-i-la,3,46.250080
512,768,256,256,2,2,p2p-i-la,3,62.003877
512,768,256,256,2,2,p2p-i-la,3,62.738109
512,768,256,256,2,2,p2p-i-la,3,57.587697
512,768,256,256,2,2,p2p-i-la,3,61.662051
1024,1536,512,256,2,2,p2p,0,70.179207
1024,1536,512,256,2,2,p2p,0,76.560954
1024,1536,512,256,2,2,p2p,0,73.262953
1024,1536,512,256,2,2,p2p,0,76.087151
1024,1536,512,256,2,2,p2p,0,75.965133
1024,1536,512,256,2,2,bcast,0,71.973044
1024,1536,512,256,2,2,bcast,0,71.818993
1024,1536,512,256,2,2,bcast,0,72.898195
1024,1536,512,256,2,2,bcast,0,73.715624
1024,1536,512,256,2,2,bcast,0,74.915703
1024,1536,512,256,2,2,p2p-i-la,1,67.353019
1024,1536,512,256,2,2,p2p-i-la,1,71.608246
1024,1536,512,256,2,2,p2p-i-la,1,69.850499
1024,1536,512,256,2,2,p2p-i-la,1,71.152709
1024,1536,512,256,2,2,p2p-i-la,1,72.792765
1024,1536,512,256,2,2,p2p-i-la,2,66.774991
1024,1536,512,256,2,2,p2p-i-la,2,71.818993
1024,1536,512,256,2,2,p2p-i-la,2,73.692015
1024,1536,512,256,2,2,p2p-i-la,2,67.409396
1024,1536,512,256,2,2,p2p-i-la,2,72.202125
1024,1536,512,256,2,2,p2p-i-la,3,64.124406
1024,1536,512,256,2,2,p2p-i-la,3,71.643287
1024,1536,512,256,2,2,p2p-i-la,3,71.357617
1024,1536,512,256,2,2,p2p-i-la,3,72.063209
1024,1536,512,256,2,2,p2p-i-la,3,68.376683
1024,1536,512,256,2,2,p2p-i-la,4,65.787627
1024,1536,512,256,2,2,p2p-i-la,4,71.719853
1024,1536,512,256,2,2,p2p-i-la,4,72.011657
1024,1536,512,256,2,2,p2p-i-la,4,69.862615
1024,1536,512,256,2,2,p2p-i-la,4,71.234532
1024,1536,512,256,2,2,p2p-i-la,5,65.043723
1024,1536,512,256,2,2,p2p-i-la,5,75.761451
1024,1536,512,256,2,2,p2p-i-la,5,74.679498
1024,1536,512,256,2,2,p2p-i-la,5,76.608293
1024,1536,512,256,2,2,p2p-i-la,5,76.004568
1024,1536,512,256,2,2,p2p-i-la,6,65.903382
1024,1536,512,256,2,2,p2p-i-la,6,75.135880
1024,1536,512,256,2,2,p2p-i-la,6,74.396637
1024,1536,512,256,2,2,p2p-i-la,6,77.500374
1024,1536,512,256,2,2,p2p-i-la,6,76.051221
1536,2304,768,256,2,2,p2p,0,82.334678
1536,2304,768,256,2,2,p2p,0,80.092796
1536,2304,768,256,2,2,p2p,0,84.609440
1536,2304,768,256,2,2,p2p,0,84.840537
