m,n,k,b,p,q,algo,lookahead,gflops
256,512,512,256,2,2,p2p,0,19.934313
256,512,512,256,2,2,p2p,0,70.789941
256,512,512,256,2,2,p2p,0,70.640908
256,512,512,256,2,2,p2p,0,69.578915
256,512,512,256,2,2,p2p,0,67.108861
256,512,512,256,2,2,bcast,0,49.545121
256,512,512,256,2,2,bcast,0,65.091039
256,512,512,256,2,2,bcast,0,61.994333
256,512,512,256,2,2,bcast,0,62.630764
256,512,512,256,2,2,bcast,0,65.632142
256,512,512,256,2,2,p2p-i-la,1,46.345902
256,512,512,256,2,2,p2p-i-la,1,66.084550
256,512,512,256,2,2,p2p-i-la,1,63.191018
256,512,512,256,2,2,p2p-i-la,1,66.280358
256,512,512,256,2,2,p2p-i-la,1,63.580165
256,512,512,256,2,2,p2p-i-la,2,48.647236
256,512,512,256,2,2,p2p-i-la,2,63.700868
256,512,512,256,2,2,p2p-i-la,2,62.689270
256,512,512,256,2,2,p2p-i-la,2,63.791697
256,512,512,256,2,2,p2p-i-la,2,50.917195
512,1024,1024,256,2,2,p2p,0,76.157304
512,1024,1024,256,2,2,p2p,0,82.716416
512,1024,1024,256,2,2,p2p,0,81.908749
512,1024,1024,256,2,2,p2p,0,77.131084
512,1024,1024,256,2,2,p2p,0,79.998644
512,1024,1024,256,2,2,bcast,0,73.969540
512,1024,1024,256,2,2,bcast,0,80.963793
512,1024,1024,256,2,2,bcast,0,81.012663
512,1024,1024,256,2,2,bcast,0,75.382041
512,1024,1024,256,2,2,bcast,0,79.683995
512,1024,1024,256,2,2,p2p-i-la,1,67.087899
512,1024,1024,256,2,2,p2p-i-la,1,74.173929
512,1024,1024,256,2,2,p2p-i-la,1,77.548884
512,1024,1024,256,2,2,p2p-i-la,1,73.974633
512,1024,1024,256,2,2,p2p-i-la,1,75.770366
512,1024,1024,256,2,2,p2p-i-la,2,67.833835
512,1024,1024,256,2,2,p2p-i-la,2,75.684912
512,1024,1024,256,2,2,p2p-i-la,2,77.846866
512,1024,1024,256,2,2,p2p-i-la,2,73.857601
512,1024,1024,256,2,2,p2p-i-la,2,76.943163
512,1024,1024,256,2,2,p2p-i-la,3,65.620106
512,1024,1024,256,2,2,p2p-i-la,3,76.054812
512,1024,1024,256,2,2,p2p-i-la,3,75.281624
512,1024,1024,256,2,2,p2p-i-la,3,76.602828
512,1024,1024,256,2,2,p2p-i-la,3,76.943163
512,1024,1024,256,2,2,p2p-i-la,4,66.563870
512,1024,1024,256,2,2,p2p-i-la,4,77.683538
512,1024,1024,256,2,2,p2p-i-la,4,76.146504
512,1024,1024,256,2,2,p2p-i-la,4,76.778109
512,1024,1024,256,2,2,p2p-i-la,4,77.009384
1024,2048,2048,256,2,2,p2p,0,85.157626
1024,2048,2048,256,2,2,p2p,0,86.979635
1024,2048,2048,256,2,2,p2p,0,86.839821
1024,2048,2048,256,2,2,p2p,0,85.905361
1024,2048,2048,256,2,2,p2p,0,86.391777
1024,2048,2048,256,2,2,bcast,0,83.497135
1024,2048,2048,256,2,2,bcast,0,86.080115
1024,2048,2048,256,2,2,bcast,0,86.228737
1024,2048,2048,256,2,2,bcast,0,86.858264
1024,2048,2048,256,2,2,bcast,0,86.990202
1024,2048,2048,256,2,2,p2p-i-la,1,82.574085
1024,2048,2048,256,2,2,p2p-i-la,1,85.243822
1024,2048,2048,256,2,2,p2p-i-la,1,85.526449
1024,2048,2048,256,2,2,p2p-i-la,1,84.384639
1024,2048,2048,256,2,2,p2p-i-la,1,84.058463
1024,2048,2048,256,2,2,p2p-i-la,2,79.407027
1024,2048,2048,256,2,2,p2p-i-la,2,85.048854
1024,2048,2048,256,2,2,p2p-i-la,2,82.761050
1024,2048,2048,256,2,2,p2p-i-la,2,84.762677
1024,2048,2048,256,2,2,p2p-i-la,2,84.343211
1024,2048,2048,256,2,2,p2p-i-la,3,80.727913
1024,2048,2048,256,2,2,p2p-i-la,3,82.838466
1024,2048,2048,256,2,2,p2p-i-la,3,78.069735
1024,2048,2048,256,2,2,p2p-i-la,3,78.113748
1024,2048,2048,256,2,2,p2p-i-la,3,77.972648
1024,2048,2048,256,2,2,p2p-i-la,4,77.487325
1024,2048,2048,256,2,2,p2p-i-la,4,84.593226
1024,2048,2048,256,2,2,p2p-i-la,4,82.253067
1024,2048,2048,256,2,2,p2p-i-la,4,83.910662
1024,2048,2048,256,2,2,p2p-i-la,4,82.830480
1024,2048,2048,256,2,2,p2p-i-la,5,79.865505
1024,2048,2048,256,2,2,p2p-i-la,5,76.835110
