m,n,k,b,p,q,algo,lookahead,gflops
768,512,256,256,2,2,p2p,0,57.146349
768,512,256,256,2,2,p2p,0,71.240830
768,512,256,256,2,2,p2p,0,66.930381
768,512,256,256,2,2,p2p,0,67.333309
768,512,256,256,2,2,p2p,0,67.763914
768,512,256,256,2,2,bcast,0,51.608971
768,512,256,256,2,2,bcast,0,63.953810
768,512,256,256,2,2,bcast,0,63.230713
768,512,256,256,2,2,bcast,0,61.737687
768,512,256,256,2,2,bcast,0,65.175329
768,512,256,256,2,2,p2p-i-la,1,49.429558
768,512,256,256,2,2,p2p-i-la,1,67.310797
768,512,256,256,2,2,p2p-i-la,1,65.600061
768,512,256,256,2,2,p2p-i-la,1,65.027968
768,512,256,256,2,2,p2p-i-la,1,65.196435
768,512,256,256,2,2,p2p-i-la,2,50.686453
768,512,256,256,2,2,p2p-i-la,2,66.797146
768,512,256,256,2,2,p2p-i-la,2,68.688705
768,512,256,256,2,2,p2p-i-la,2,65.006971
768,512,256,256,2,2,p2p-i-la,2,67.355837
1536,1024,512,256,2,2,p2p,0,74.780049
1536,1024,512,256,2,2,p2p,0,77.500374
1536,1024,512,256,2,2,p2p,0,79.391372
1536,1024,512,256,2,2,p2p,0,79.188397
1536,1024,512,256,2,2,p2p,0,79.203970
1536,1024,512,256,2,2,bcast,0,71.668791
1536,1024,512,256,2,2,bcast,0,78.044907
1536,1024,512,256,2,2,bcast,0,77.965572
1536,1024,512,256,2,2,bcast,0,74.109082
1536,1024,512,256,2,2,bcast,0,73.837288
1536,1024,512,256,2,2,p2p-i-la,1,67.545092
1536,1024,512,256,2,2,p2p-i-la,1,73.641475
1536,1024,512,256,2,2,p2p-i-la,1,72.934510
1536,1024,512,256,2,2,p2p-i-la,1,73.796687
1536,1024,512,256,2,2,p2p-i-la,1,73.955951
1536,1024,512,256,2,2,p2p-i-la,2,67.347385
1536,1024,512,256,2,2,p2p-i-la,2,73.860990
1536,1024,512,256,2,2,p2p-i-la,2,74.132965
1536,1024,512,256,2,2,p2p-i-la,2,69.053883
1536,1024,512,256,2,2,p2p-i-la,2,74.194431
1536,1024,512,256,2,2,p2p-i-la,3,65.709793
1536,1024,512,256,2,2,p2p-i-la,3,72.082559
1536,1024,512,256,2,2,p2p-i-la,3,72.796055
1536,1024,512,256,2,2,p2p-i-la,3,73.969540
1536,1024,512,256,2,2,p2p-i-la,3,72.792765
1536,1024,512,256,2,2,p2p-i-la,4,63.479927
1536,1024,512,256,2,2,p2p-i-la,4,74.139785
1536,1024,512,256,2,2,p2p-i-la,4,74.461984
1536,1024,512,256,2,2,p2p-i-la,4,71.080486
1536,1024,512,256,2,2,p2p-i-la,4,73.169756
2304,1536,768,256,2,2,p2p,0,78.325910
2304,1536,768,256,2,2,p2p,0,79.978490
2304,1536,768,256,2,2,p2p,0,79.407169
2304,1536,768,256,2,2,p2p,0,81.141301
2304,1536,768,256,2,2,p2p,0,81.896801
2304,1536,768,256,2,2,bcast,0,79.728630
2304,1536,768,256,2,2,bcast,0,79.218544
2304,1536,768,256,2,2,bcast,0,82.136871
2304,1536,768,256,2,2,bcast,0,80.633369
2304,1536,768,256,2,2,bcast,0,80.775956
2304,1536,768,256,2,2,p2p-i-la,1,75.353049
2304,1536,768,256,2,2,p2p-i-la,1,77.446542
2304,1536,768,256,2,2,p2p-i-la,1,78.646611
2304,1536,768,256,2,2,p2p-i-la,1,78.539800
2304,1536,768,256,2,2,p2p-i-la,1,77.359472
2304,1536,768,256,2,2,p2p-i-la,2,74.810671
2304,1536,768,256,2,2,p2p-i-la,2,77.902722
2304,1536,768,256,2,2,p2p-i-la,2,79.518685
2304,1536,768,256,2,2,p2p-i-la,2,80.201513
2304,1536,768,256,2,2,p2p-i-la,2,79.440829
2304,1536,768,256,2,2,p2p-i-la,3,73.490769
2304,1536,768,256,2,2,p2p-i-la,3,77.723387
2304,1536,768,256,2,2,p2p-i-la,3,80.925072
2304,1536,768,256,2,2,p2p-i-la,3,81.888161
2304,1536,768,256,2,2,p2p-i-la,3,80.888941
2304,1536,768,256,2,2,p2p-i-la,4,75.302939
2304,1536,768,256,2,2,p2p-i-la,4,80.029119
2304,1536,768,256,2,2,p2p-i-la,4,82.353395
2304,1536,768,256,2,2,p2p-i-la,4,78.545473
2304,1536,768,256,2,2,p2p-i-la,4,81.442796
2304,1536,768,256,2,2,p2p-i-la,5,75.583550
2304,1536,768,256,2,2,p2p-i-la,5,80.614240
2304,1536,768,256,2,2,p2p-i-la,5,82.334678
2304,1536,768,256,2,2,p2p-i-la,5,82.427065
2304,1536,768,256,2,2,p2p-i-la,5,81.774826
2304,1536,768,256,2,2,p2p-i-la,6,75.302939
2304,1536,768,256,2,2,p2p-i-la,6,80.745963
2304,1536,768,256,2,2,p2p-i-la,6,81.148566
2304,1536,768,256,2,2,p2p-i-la,6,81.854866
2304,1536,768,256,2,2,p2p-i-la,6,81.741623
3072,2048,1024,256,2,2,p2p,0,84.174335
3072,2048,1024,256,2,2,p2p,0,81.935833
3072,2048,1024,256,2,2,p2p,0,86.979045
3072,2048,1024,256,2,2,p2p,0,85.366662
3072,2048,1024,256,2,2,p2p,0,86.464824
3072,2048,1024,256,2,2,bcast,0,85.044925
3072,2048,1024,256,2,2,bcast,0,86.524627
3072,2048,1024,256,2,2,bcast,0,84.952407
3072,2048,1024,256,2,2,bcast,0,86.827825
3072,2048,1024,256,2,2,bcast,0,87.182677
3072,2048,1024,256,2,2,p2p-i-la,1,82.613531
3072,2048,1024,256,2,2,p2p-i-la,1,84.744005
3072,2048,1024,256,2,2,p2p-i-la,1,85.533268
3072,2048,1024,256,2,2,p2p-i-la,1,85.309004
3072,2048,1024,256,2,2,p2p-i-la,1,82.155778
3072,2048,1024,256,2,2,p2p-i-la,2,81.135097
3072,2048,1024,256,2,2,p2p-i-la,2,84.245331
3072,2048,1024,256,2,2,p2p-i-la,2,84.584900
3072,2048,1024,256,2,2,p2p-i-la,2,84.436902
3072,2048,1024,256,2,2,p2p-i-la,2,84.271227
3072,2048,1024,256,2,2,p2p-i-la,3,78.268670
3072,2048,1024,256,2,2,p2p-i-la,3,85.162406
3072,2048,1024,256,2,2,p2p-i-la,3,83.909569
3072,2048,1024,256,2,2,p2p-i-la,3,84.394864
3072,2048,1024,256,2,2,p2p-i-la,3,82.753078
3072,2048,1024,256,2,2,p2p-i-la,4,79.623425
3072,2048,1024,256,2,2,p2p-i-la,4,85.060084
