m,n,k,b,p,q,algo,lookahead,gflops
512,512,512,256,2,2,p2p,0,56.040803
512,512,512,256,2,2,p2p,0,62.528643
512,512,512,256,2,2,p2p,0,61.272644
512,512,512,256,2,2,p2p,0,58.983841
512,512,512,256,2,2,p2p,0,63.806857
512,512,512,256,2,2,bcast,0,51.463851
512,512,512,256,2,2,bcast,0,58.815834
512,512,512,256,2,2,bcast,0,62.968672
512,512,512,256,2,2,bcast,0,59.639070
512,512,512,256,2,2,bcast,0,59.652326
512,512,512,256,2,2,p2p-i-la,1,52.387873
512,512,512,256,2,2,p2p-i-la,1,59.296547
512,512,512,256,2,2,p2p-i-la,1,60.690812
512,512,512,256,2,2,p2p-i-la,1,56.883972
512,512,512,256,2,2,p2p-i-la,1,53.805463
512,512,512,256,2,2,p2p-i-la,2,50.801561
512,512,512,256,2,2,p2p-i-la,2,59.825153
512,512,512,256,2,2,p2p-i-la,2,60.567564
512,512,512,256,2,2,p2p-i-la,2,52.852031
512,512,512,256,2,2,p2p-i-la,2,58.444473
1024,1024,1024,256,2,2,p2p,0,69.466381
1024,1024,1024,256,2,2,p2p,0,72.359446
1024,1024,1024,256,2,2,p2p,0,71.908774
1024,1024,1024,256,2,2,p2p,0,69.488856
1024,1024,1024,256,2,2,p2p,0,71.214846
1024,1024,1024,256,2,2,bcast,0,70.402377
1024,1024,1024,256,2,2,bcast,0,70.374689
1024,1024,1024,256,2,2,bcast,0,73.395661
1024,1024,1024,256,2,2,bcast,0,72.447324
1024,1024,1024,256,2,2,bcast,0,69.800550
1024,1024,1024,256,2,2,p2p-i-la,1,67.331904
1024,1024,1024,256,2,2,p2p-i-la,1,69.533858
1024,1024,1024,256,2,2,p2p-i-la,1,70.092162
1024,1024,1024,256,2,2,p2p-i-la,1,72.140678
1024,1024,1024,256,2,2,p2p-i-la,1,71.973848
1024,1024,1024,256,2,2,p2p-i-la,2,64.222848
1024,1024,1024,256,2,2,p2p-i-la,2,71.096959
1024,1024,1024,256,2,2,p2p-i-la,2,69.244626
1024,1024,1024,256,2,2,p2p-i-la,2,69.866405
1024,1024,1024,256,2,2,p2p-i-la,2,68.561514
1024,1024,1024,256,2,2,p2p-i-la,3,65.073294
1024,1024,1024,256,2,2,p2p-i-la,3,71.582790
1024,1024,1024,256,2,2,p2p-i-la,3,73.133215
1024,1024,1024,256,2,2,p2p-i-la,3,67.123544
1024,1024,1024,256,2,2,p2p-i-la,3,70.571266
1024,1024,1024,256,2,2,p2p-i-la,4,63.448672
1024,1024,1024,256,2,2,p2p-i-la,4,72.865214
1024,1024,1024,256,2,2,p2p-i-la,4,67.941142
1024,1024,1024,256,2,2,p2p-i-la,4,69.877770
1024,1024,1024,256,2,2,p2p-i-la,4,67.579815
2048,2048,2048,256,2,2,p2p,0,79.052966
2048,2048,2048,256,2,2,p2p,0,78.819391
2048,2048,2048,256,2,2,p2p,0,78.614892
2048,2048,2048,256,2,2,p2p,0,78.058735
2048,2048,2048,256,2,2,p2p,0,79.481603
2048,2048,2048,256,2,2,bcast,0,79.387944
2048,2048,2048,256,2,2,bcast,0,78.036750
2048,2048,2048,256,2,2,bcast,0,78.851229
2048,2048,2048,256,2,2,bcast,0,78.335291
2048,2048,2048,256,2,2,bcast,0,79.149112
2048,2048,2048,256,2,2,p2p-i-la,1,74.955797
2048,2048,2048,256,2,2,p2p-i-la,1,75.459521
2048,2048,2048,256,2,2,p2p-i-la,1,76.284454
2048,2048,2048,256,2,2,p2p-i-la,1,77.452390
2048,2048,2048,256,2,2,p2p-i-la,1,76.737983
2048,2048,2048,256,2,2,p2p-i-la,2,76.637341
2048,2048,2048,256,2,2,p2p-i-la,2,78.863898
2048,2048,2048,256,2,2,p2p-i-la,2,77.629829
2048,2048,2048,256,2,2,p2p-i-la,2,78.064766
2048,2048,2048,256,2,2,p2p-i-la,2,78.721878
2048,2048,2048,256,2,2,p2p-i-la,3,76.676674
2048,2048,2048,256,2,2,p2p-i-la,3,78.524338
2048,2048,2048,256,2,2,p2p-i-la,3,79.090087
2048,2048,2048,256,2,2,p2p-i-la,3,76.063231
2048,2048,2048,256,2,2,p2p-i-la,3,77.651585
2048,2048,2048,256,2,2,p2p-i-la,4,75.295813
2048,2048,2048,256,2,2,p2p-i-la,4,78.522547
2048,2048,2048,256,2,2,p2p-i-la,4,78.090315
2048,2048,2048,256,2,2,p2p-i-la,4,77.822889
2048,2048,2048,256,2,2,p2p-i-la,4,77.837695
2048,2048,2048,256,2,2,p2p-i-la,5,77.749981
2048,2048,2048,256,2,2,p2p-i-la,5,79.528699
2048,2048,2048,256,2,2,p2p-i-la,5,80.774981
2048,2048,2048,256,2,2,p2p-i-la,5,77.847570
2048,2048,2048,256,2,2,p2p-i-la,5,78.601943
2048,2048,2048,256,2,2,p2p-i-la,6,76.457255
2048,2048,2048,256,2,2,p2p-i-la,6,76.571758
2048,2048,2048,256,2,2,p2p-i-la,6,78.755439
2048,2048,2048,256,2,2,p2p-i-la,6,76.833046
2048,2048,2048,256,2,2,p2p-i-la,6,78.283532
2048,2048,2048,256,2,2,p2p-i-la,7,75.787076
2048,2048,2048,256,2,2,p2p-i-la,7,78.187695
2048,2048,2048,256,2,2,p2p-i-la,7,78.175242
2048,2048,2048,256,2,2,p2p-i-la,7,78.774579
2048,2048,2048,256,2,2,p2p-i-la,7,77.591612
2048,2048,2048,256,2,2,p2p-i-la,8,75.959310
2048,2048,2048,256,2,2,p2p-i-la,8,78.899394
2048,2048,2048,256,2,2,p2p-i-la,8,77.921720
2048,2048,2048,256,2,2,p2p-i-la,8,77.621759
2048,2048,2048,256,2,2,p2p-i-la,8,78.720078
3072,3072,3072,256,2,2,p2p,0,82.235303
3072,3072,3072,256,2,2,p2p,0,82.576942
3072,3072,3072,256,2,2,p2p,0,81.391124
3072,3072,3072,256,2,2,p2p,0,81.316012
3072,3072,3072,256,2,2,p2p,0,81.385180
3072,3072,3072,256,2,2,bcast,0,81.629116
3072,3072,3072,256,2,2,bcast,0,79.569614
3072,3072,3072,256,2,2,bcast,0,80.203587
3072,3072,3072,256,2,2,bcast,0,80.604187
3072,3072,3072,256,2,2,bcast,0,80.666088
3072,3072,3072,256,2,2,p2p-i-la,1,82.156884
3072,3072,3072,256,2,2,p2p-i-la,1,83.321443
3072,3072,3072,256,2,2,p2p-i-la,1,83.708899
3072,3072,3072,256,2,2,p2p-i-la,1,82.717010
3072,3072,3072,256,2,2,p2p-i-la,1,83.072305
3072,3072,3072,256,2,2,p2p-i-la,2,83.093848
3072,3072,3072,256,2,2,p2p-i-la,2,83.388669
3072,3072,3072,256,2,2,p2p-i-la,2,83.991070
3072,3072,3072,256,2,2,p2p-i-la,2,83.356657
3072,3072,3072,256,2,2,p2p-i-la,2,82.184836
3072,3072,3072,256,2,2,p2p-i-la,3,83.479794
3072,3072,3072,256,2,2,p2p-i-la,3,83.341203
3072,3072,3072,256,2,2,p2p-i-la,3,83.335934
3072,3072,3072,256,2,2,p2p-i-la,3,82.519117
3072,3072,3072,256,2,2,p2p-i-la,3,82.535444
3072,3072,3072,256,2,2,p2p-i-la,4,81.798285
3072,3072,3072,256,2,2,p2p-i-la,4,83.107073
