m,n,k,b,p,q,algo,lookahead,gflops
512,512,512,256,4,4,p2p,0,40.070974
512,512,512,256,4,4,p2p,0,48.419095
512,512,512,256,4,4,p2p,0,48.445308
512,512,512,256,4,4,p2p,0,47.376538
512,512,512,256,4,4,p2p,0,46.273996
512,512,512,256,4,4,bcast,0,34.143407
512,512,512,256,4,4,bcast,0,39.354267
512,512,512,256,4,4,bcast,0,39.400478
512,512,512,256,4,4,bcast,0,39.662450
512,512,512,256,4,4,bcast,0,38.881150
512,512,512,256,4,4,p2p-i-la,1,27.753872
512,512,512,256,4,4,p2p-i-la,1,41.858015
512,512,512,256,4,4,p2p-i-la,1,33.021954
512,512,512,256,4,4,p2p-i-la,1,37.443920
512,512,512,256,4,4,p2p-i-la,1,40.463589
512,512,512,256,4,4,p2p-i-la,2,31.895849
512,512,512,256,4,4,p2p-i-la,2,42.771744
512,512,512,256,4,4,p2p-i-la,2,41.355024
512,512,512,256,4,4,p2p-i-la,2,40.851538
512,512,512,256,4,4,p2p-i-la,2,37.334557
1024,1024,1024,256,4,4,p2p,0,58.998425
1024,1024,1024,256,4,4,p2p,0,62.437741
1024,1024,1024,256,4,4,p2p,0,61.507806
1024,1024,1024,256,4,4,p2p,0,61.133101
1024,1024,1024,256,4,4,p2p,0,58.565608
1024,1024,1024,256,4,4,bcast,0,58.463565
1024,1024,1024,256,4,4,bcast,0,60.866266
1024,1024,1024,256,4,4,bcast,0,60.629125
1024,1024,1024,256,4,4,bcast,0,60.605171
1024,1024,1024,256,4,4,bcast,0,61.274396
1024,1024,1024,256,4,4,p2p-i-la,1,51.776537
1024,1024,1024,256,4,4,p2p-i-la,1,58.401558
1024,1024,1024,256,4,4,p2p-i-la,1,59.244199
1024,1024,1024,256,4,4,p2p-i-la,1,55.249263
1024,1024,1024,256,4,4,p2p-i-la,1,56.822260
1024,1024,1024,256,4,4,p2p-i-la,2,47.296193
1024,1024,1024,256,4,4,p2p-i-la,2,55.249263
1024,1024,1024,256,4,4,p2p-i-la,2,53.986715
1024,1024,1024,256,4,4,p2p-i-la,2,49.876525
1024,1024,1024,256,4,4,p2p-i-la,2,54.460429
1024,1024,1024,256,4,4,p2p-i-la,3,47.939182
1024,1024,1024,256,4,4,p2p-i-la,3,57.376395
1024,1024,1024,256,4,4,p2p-i-la,3,54.970654
1024,1024,1024,256,4,4,p2p-i-la,3,54.497746
1024,1024,1024,256,4,4,p2p-i-la,3,47.911375
1024,1024,1024,256,4,4,p2p-i-la,4,47.902827
